player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Dylan Sampson,163772,HB,CLV,15,0,8,40.6,10.7,3,21.4,28,31.2,0,18.2,14,77,59.6,5.1,2,14.3,39
Theo Wease Jr.,98005,WR,MIA,3,0,17,56.7,100.0,5,35.7,5,74.7,0,100.0,14,14,59.8,100.0,5,35.7,5
Luke Tenuta,77367,T,IND,2,0,14,53.0,100.0,9,64.3,9,43.1,0,100.0,14,14,43.3,100.0,5,35.7,5
Dominic Lovett,146872,WR,DET,7,1,11,60.0,100.0,2,14.3,2,56.9,1,100.0,14,14,57.4,100.0,5,35.7,5
Brenden Jaimes,59909,C,NE,2,0,19,57.0,100.0,4,28.6,4,66.0,0,100.0,14,14,69.1,100.0,6,42.9,6
CJ Dippre,144888,TE,NE,2,0,19,57.0,100.0,4,28.6,4,54.9,0,100.0,14,14,55.6,100.0,6,42.9,6
Devin Duvernay,40006,WR,CHI,4,0,6,47.6,100.0,4,28.6,4,50.1,0,100.0,14,14,60.1,100.0,8,57.1,8
Chuba Hubbard,57373,HB,CAR,15,0,5,59.4,4.3,2,14.3,47,57.4,0,9.2,14,152,57.6,5.4,5,35.7,92
Myles Price,123155,WR,MIN,4,0,18,60.0,100.0,3,21.4,3,60.9,0,100.0,14,14,59.1,100.0,5,35.7,5
DJ Giddens,144595,HB,IND,8,0,14,,0.0,0,0.0,15,60.0,0,34.1,14,41,,0.0,0,0.0,12
Feleipe Franks,40217,TE,ATL,7,0,2,60.0,100.0,2,15.4,2,60.9,0,86.7,13,15,59.3,100.0,2,15.4,2
Braxton Berrios,47961,WR,HST,3,0,13,60.0,100.0,7,53.8,7,31.3,0,100.0,13,13,50.1,100.0,6,46.2,6
Teddy Bridgewater,8667,QB,TB,4,0,30,60.0,100.0,3,23.1,3,60.0,0,86.7,13,15,60.0,100.0,10,76.9,10
Malik Davis,57196,HB,DAL,9,0,9,60.0,5.9,1,7.7,17,59.4,0,19.7,13,66,,0.0,0,0.0,36
Kimani Vidal,123727,HB,LAC,12,0,27,60.0,1.3,1,7.7,76,71.4,0,7.6,13,172,60.0,2.4,2,15.4,84
Keaton Mitchell,123826,HB,BLT,12,0,3,58.8,10.3,3,23.1,29,59.2,0,17.3,13,75,60.0,8.6,3,23.1,35
Ricky White,129639,WR,SEA,2,0,29,60.0,100.0,1,7.7,1,57.7,0,100.0,13,13,58.5,100.0,9,69.2,9
Jared Wiley,98508,TE,KC,4,0,16,55.2,100.0,5,38.5,5,63.0,0,100.0,13,13,58.6,100.0,8,61.5,8
